EvaluatorID,HeuristicID,HeuristicName,OriginalSeverity,ReRatedSeverity,Notes
E1,H1,Visibility of System Status,0,0,No problem
E1,H2,Match System & Real World,0,0,No problem
E1,H3,User Control & Freedom,0,1,Minor countdown timer duration control / pause friction
E1,H4,Consistency & Standards,0,1,Cosmetic ARIA landmarks / cross screen-reader compatibility suggestion
E1,H5,Error Prevention,0,0,No problem
E1,H6,Recognition over Recall,0,0,No problem
E1,H7,Flexibility & Efficiency,0,0,No problem
E1,H8,Aesthetic & Minimalist Design,0,1,Cosmetic prefers-reduced-motion animation removal suggestion
E1,H9,Error Recovery,1,1,Cosmetic (blockchain immutability constraint)
E1,H10,Help & Documentation,0,0,No problem
E2,H1,Visibility of System Status,0,0,No problem
E2,H2,Match System & Real World,0,0,No problem
E2,H3,User Control & Freedom,0,1,Minor countdown timer duration control / pause friction
E2,H4,Consistency & Standards,0,0,No problem
E2,H5,Error Prevention,0,0,No problem
E2,H6,Recognition over Recall,0,0,No problem
E2,H7,Flexibility & Efficiency,0,1,Customization options / switch scanning / search-filter scaling suggestion
E2,H8,Aesthetic & Minimalist Design,0,0,No problem
E2,H9,Error Recovery,1,1,Cosmetic (blockchain immutability constraint)
E2,H10,Help & Documentation,0,1,Cosmetic onboarding tutorial suggestion for cognitive users
E3,H1,Visibility of System Status,0,0,No problem
E3,H2,Match System & Real World,0,0,No problem
E3,H3,User Control & Freedom,0,0,No problem
E3,H4,Consistency & Standards,0,0,No problem
E3,H5,Error Prevention,0,0,No problem
E3,H6,Recognition over Recall,0,0,No problem
E3,H7,Flexibility & Efficiency,0,1,Customization options / switch scanning / search-filter scaling suggestion
E3,H8,Aesthetic & Minimalist Design,0,0,No problem
E3,H9,Error Recovery,1,1,Cosmetic (blockchain immutability constraint)
E3,H10,Help & Documentation,0,0,No problem
E4,H1,Visibility of System Status,0,0,No problem
E4,H2,Match System & Real World,0,0,No problem
E4,H3,User Control & Freedom,0,0,No problem
E4,H4,Consistency & Standards,0,0,No problem
E4,H5,Error Prevention,0,0,No problem
E4,H6,Recognition over Recall,0,0,No problem
E4,H7,Flexibility & Efficiency,0,0,No problem
E4,H8,Aesthetic & Minimalist Design,0,0,No problem
E4,H9,Error Recovery,1,1,Cosmetic (blockchain immutability constraint)
E4,H10,Help & Documentation,0,0,No problem
E5,H1,Visibility of System Status,0,0,No problem
E5,H2,Match System & Real World,0,0,No problem
E5,H3,User Control & Freedom,0,0,No problem
E5,H4,Consistency & Standards,0,0,No problem
E5,H5,Error Prevention,0,0,No problem
E5,H6,Recognition over Recall,0,0,No problem
E5,H7,Flexibility & Efficiency,0,0,No problem
E5,H8,Aesthetic & Minimalist Design,0,0,No problem
E5,H9,Error Recovery,1,1,Cosmetic (blockchain immutability constraint)
E5,H10,Help & Documentation,0,0,No problem
E6,H1,Visibility of System Status,0,0,No problem
E6,H2,Match System & Real World,0,0,No problem
E6,H3,User Control & Freedom,0,1,Minor countdown timer duration control / pause friction
E6,H4,Consistency & Standards,0,1,Cosmetic ARIA landmarks / cross screen-reader compatibility suggestion
E6,H5,Error Prevention,0,0,No problem
E6,H6,Recognition over Recall,0,0,No problem
E6,H7,Flexibility & Efficiency,0,0,No problem
E6,H8,Aesthetic & Minimalist Design,0,1,Cosmetic prefers-reduced-motion animation removal suggestion
E6,H9,Error Recovery,1,1,Cosmetic (blockchain immutability constraint)
E6,H10,Help & Documentation,0,0,No problem
E7,H1,Visibility of System Status,0,0,No problem
E7,H2,Match System & Real World,0,0,No problem
E7,H3,User Control & Freedom,0,1,Minor countdown timer duration control / pause friction
E7,H4,Consistency & Standards,0,0,No problem
E7,H5,Error Prevention,0,0,No problem
E7,H6,Recognition over Recall,0,0,No problem
E7,H7,Flexibility & Efficiency,0,1,Customization options / switch scanning / search-filter scaling suggestion
E7,H8,Aesthetic & Minimalist Design,0,0,No problem
E7,H9,Error Recovery,1,1,Cosmetic (blockchain immutability constraint)
E7,H10,Help & Documentation,0,1,Cosmetic onboarding tutorial suggestion for cognitive users
E8,H1,Visibility of System Status,0,0,No problem
E8,H2,Match System & Real World,0,0,No problem
E8,H3,User Control & Freedom,0,0,No problem
E8,H4,Consistency & Standards,0,0,No problem
E8,H5,Error Prevention,0,0,No problem
E8,H6,Recognition over Recall,0,0,No problem
E8,H7,Flexibility & Efficiency,0,1,Customization options / switch scanning / search-filter scaling suggestion
E8,H8,Aesthetic & Minimalist Design,0,0,No problem
E8,H9,Error Recovery,1,1,Cosmetic (blockchain immutability constraint)
E8,H10,Help & Documentation,0,0,No problem
E9,H1,Visibility of System Status,0,0,No problem
E9,H2,Match System & Real World,0,0,No problem
E9,H3,User Control & Freedom,0,2,Minor countdown timer duration control / pause friction
E9,H4,Consistency & Standards,0,0,No problem
E9,H5,Error Prevention,0,0,No problem
E9,H6,Recognition over Recall,0,0,No problem
E9,H7,Flexibility & Efficiency,0,1,Customization options / switch scanning / search-filter scaling suggestion
E9,H8,Aesthetic & Minimalist Design,0,0,No problem
E9,H9,Error Recovery,1,1,Cosmetic (blockchain immutability constraint)
E9,H10,Help & Documentation,0,0,No problem
E10,H1,Visibility of System Status,0,0,No problem
E10,H2,Match System & Real World,0,0,No problem
E10,H3,User Control & Freedom,0,0,No problem
E10,H4,Consistency & Standards,0,1,Cosmetic ARIA landmarks / cross screen-reader compatibility suggestion
E10,H5,Error Prevention,0,0,No problem
E10,H6,Recognition over Recall,0,0,No problem
E10,H7,Flexibility & Efficiency,0,2,Customization options / switch scanning / search-filter scaling suggestion
E10,H8,Aesthetic & Minimalist Design,0,0,No problem
E10,H9,Error Recovery,1,1,Cosmetic (blockchain immutability constraint)
E10,H10,Help & Documentation,0,0,No problem
